,id,time,fuel
410,PGT4629_LTCJ_LTFJ_20140912083500.scn,20:56:16,[61940.50391177]
411,ADH931_LICC_LIRP_20140912072000.scn,06:08:24,[61431.10031078]
412,AEE929_LLBG_LGAV_20140912023000.scn,04:13:24,[60648.52083926]
413,LBT7362_DTNH_LKPR_20140912104500.scn,07:10:00,[59169.37079383]
414,AUI34L_UKLL_UKBB_20140912040000.scn,04:43:37,[63766.37928719]
415,BLX328_LGKO_ESSA_20140912103000.scn,13:49:12,[134889.12702538]
416,BAW4TM_EHRD_EGLL_20140912082000.scn,20:44:39,[59294.81728709]
417,DLH08W_EDDF_LFPG_20140912100500.scn,16:27:55,[58720.23214021]
418,TAP1015_LEMD_LPPT_20140912130000.scn,13:43:39,[16282.14507702]
419,PRI5403_LFLL_LFPG_20140912003000.scn,01:09:22,[63920.8824035]
420,TAY011_KJFK_EBLG_20140912140000.scn,20:46:48,[227090.94272973]
421,AZA1572_LIEA_LIRF_20140912053000.scn,06:12:18,[62574.40751491]
422,EXS79G_EGNM_LPMA_20140912132000.scn,09:47:45,[44952.37672332]
423,EIN111_EINN_KJFK_20140912112000.scn,18:12:19,[75802.08405117]
424,AFR234H_LFML_LIPZ_20140912082000.scn,09:14:03,[62124.65716596]
425,GWI2807_BIKF_EDDS_20140912003000.scn,03:46:36,[53581.8772489]
426,KLM1395_EHAM_ULLI_20140912104500.scn,13:10:36,[55208.21824904]
427,AUA522D_LIPZ_LOWW_20140912085500.scn,17:51:52,[16789.91528757]
428,RYR5008_GMMW_EDFH_20140912183500.scn,21:18:18,[59035.04576352]
429,EZY471_EGAA_EGPF_20140912201000.scn,00:02:31,[59803.59406118]
430,PGT424_LIPE_LTFJ_20140912122000.scn,14:28:09,[60390.71848734]
431,WZZ114_EGGW_LKPR_20140912195000.scn,22:38:54,[60535.27286052]
432,AFL2352_UUEE_LOWW_20140912122500.scn,14:44:12,[66319.12538978]
433,BEL724_LSGG_EBBR_20140912190500.scn,20:02:12,[22813.64352642]
434,SWR779_EBBR_LSZH_20140912085400.scn,18:53:54,[62587.56006837]
435,ROT608D_LRTR_LROP_20140912161000.scn,16:52:27,[117599.11569171]
436,TFL219_EHAM_LGSM_20140912033000.scn,06:44:04,[58278.56875213]
437,AUA381_LOWW_UKLL_20140912110000.scn,12:07:00,[16675.29763783]
438,FPO551_LFRN_LFRB_20140912005500.scn,01:12:39,[51998.01317706]
439,DTH3057_LFMH_DAAS_20140912143000.scn,16:30:22,[62145.81916222]
440,BAW66Q_EGKK_GMMX_20140912140500.scn,16:08:06,[50827.26902734]
441,AUA601_LOWW_UUDD_20140912080000.scn,10:13:13,[59125.46838388]
442,BER717E_LOWG_EDDT_20140912125000.scn,13:40:10,[58140.14422595]
443,DLH156_EDDF_EDDP_20140912072500.scn,08:06:46,[59022.21773271]
444,SAS1842_LIRF_ESSA_20140912081000.scn,16:33:27,[59315.53220132]
445,MIBID_LGIR_LGAV_20140912110000.scn,11:20:24,[283384.48416956]
446,DLH1HU_EDDK_EDDM_20140912073000.scn,11:41:43,[62640.53373491]
447,QTR022_EGCC_OTHH_20140912082500.scn,20:22:22,[156852.26441336]
448,SHT2J_EGLL_EGCC_20140912075500.scn,08:32:46,[63210.3721251]
449,CCA931_ZBAA_EDDF_20140912060000.scn,03:47:28,[206686.93372214]
450,BEL7PC_EBBR_LIML_20140912143500.scn,15:27:01,[57869.74987377]
451,NJE2FD_LIRA_LIEO_20140912120000.scn,12:56:16,[15109.17817656]
452,SAS1042_ESSA_ESNQ_20140912095000.scn,11:10:33,[57312.08029633]
453,OHY2160_EDDC_LTAI_20140912184000.scn,12:13:40,[65175.84796951]
454,MON752A_EGKK_LTBS_20140912200000.scn,00:12:57,[172163.82145375]
455,TAP803L_LIMC_LPPT_20140912094200.scn,21:23:34,[59071.32187641]
456,DLH8PK_LHBP_EDDM_20140912181500.scn,07:38:25,[278904.66638137]
457,SAS618_LSGG_EKCH_20140912180500.scn,01:27:24,[273067.9741934]
458,VLG2473_GCRR_LEBL_20140912145000.scn,02:58:54,[57498.92340384]
459,EZY92FN_LPPT_EGGP_20140912121500.scn,14:32:33,[55341.21492471]
460,KLM59Z_EHAM_LSGG_20140912193000.scn,06:17:33,[57660.40020796]
461,PGT4629_LTCJ_LTFJ_20140912083500.scn,20:56:03,[61955.25487053]
462,ADH931_LICC_LIRP_20140912072000.scn,06:08:25,[61421.67795813]
463,AEE929_LLBG_LGAV_20140912023000.scn,04:13:21,[60653.60903282]
464,LBT7362_DTNH_LKPR_20140912104500.scn,07:09:30,[59199.27221457]
465,AUI34L_UKLL_UKBB_20140912040000.scn,04:43:39,[63762.51712756]
466,BLX328_LGKO_ESSA_20140912103000.scn,13:50:07,[134833.31625363]
467,BAW4TM_EHRD_EGLL_20140912082000.scn,20:44:54,[59282.70691434]
